player_type,player_key,playerid,mlbamid,name,team,weekly_projection_index,projection_rank
batter,22715,22715,672580,Maikel Garcia,KCR,58.3,180
batter,18360,18360,663586,Austin Riley,ATL,58.2,181
batter,29715,29715,696100,Hunter Goodman,COL,58.2,182
batter,13624,13624,608369,Corey Seager,TEX,58.0,183
batter,16376,16376,624424,Michael Conforto,CHC,57.8,184
batter,13145,13145,605137,Josh Bell,MIN,57.6,185
batter,20404,20404,676724,Jared Young,NYM,57.3,186
batter,26438,26438,686527,Dominic Canzone,SEA,57.0,187
batter,14221,14221,624585,Jorge Soler,LAA,57.0,188
batter,17022,17022,624641,Edmundo Sosa,PHI,56.9,189
batter,25961,25961,681481,Kerry Carpenter,DET,56.7,190
batter,9777,9777,571448,Nolan Arenado,ARI,56.7,191
batter,35376,35376,804606,Konnor Griffin,PIT,56.6,192
batter,29844,29844,689414,Liam Hicks,MIA,56.6,193
pitcher,17995,17995,657277,Logan Webb,SFG,56.5,194
batter,33704,33704,692216,CJ Kayfus,CLE,56.3,195
pitcher,17295,17295,664285,Framber Valdez,DET,56.3,196
pitcher,30076,30076,694738,Landen Roupp,SFG,56.3,197
pitcher,23793,23793,677952,Braxton Ashcraft,PIT,56.1,198
batter,26323,26323,668715,Spencer Steer,CIN,56.0,199
pitcher,30091,30091,691725,Andrew Painter,PHI,55.8,200
batter,22581,22581,672386,Alejandro Kirk,TOR,55.7,201
pitcher,27473,27473,676917,Cade Cavalli,WSN,55.5,202
batter,19627,19627,667670,Brent Rooker,ATH,55.4,203
batter,29712,29712,695657,Colson Montgomery,CHW,55.4,204
batter,12916,12916,596019,Francisco Lindor,NYM,55.4,205
batter,26466,26466,670242,Matt Wallner,MIN,55.2,206
pitcher,17277,17277,624133,Ranger Suarez,BOS,55.2,207
batter,21636,21636,665161,Jeremy Peña,HOU,55.1,208
batter,26540,26540,682657,Angel Martínez,CLE,55.0,209
batter,24262,24262,678882,Ceddanne Rafaela,BOS,55.0,210
batter,27763,27763,691011,Drew Romo,CHW,55.0,211
batter,34985,34985,802139,JJ Wetherholt,STL,55.0,212
batter,22266,22266,669364,Xavier Edwards,MIA,55.0,213
batter,31347,31347,687263,Zach Neto,LAA,55.0,214
batter,20454,20454,665862,Jazz Chisholm Jr.,NYY,54.9,215
batter,19913,19913,660821,Jesús Sánchez,TOR,54.9,216
batter,35101,35101,803011,Sam Antonacci,CHW,54.8,217
